#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
 
string_reconquista_feature;§Y*§! Can prepare campaigns to §YReclaim Mexico§!, if §YNon-Cristero§! and inside the de jure Empire of Mexico.;;;;;;;;;;;;x
###########Bookmarks########### 
 
BM_SOUTH_OF_THE_BORDER;Águila o Sol;;;;;;;;;;;;;x
BM_SOUTH_OF_THE_BORDER_ERA;Águila o Sol;;;;;;;;;;;;;x
BM_SOUTH_OF_THE_BORDER_DESC;The once-glorious Mexican Empire has been shattered: Left open to rebellion in the North due to constant incursions by the Californians, the imperial army was shattered by Luis "la Cucaracha" at the watershed Battle of Ojinaga. That loss allowed the Plan of Ixcateopan — a coalition of freedom-minded indigenous leaders in the South to enact their wish for dissolution of the Empire and self-rule. Meanwhile, the Cristero lords of the Bajío now whisper of a new Cristiada, to reclaim their home in the name of Cristo Rey. In the Southeast, the nascent Kingdom of Yucatán seems poised to usurp Mexico's position as the dominant power, but turmoil within and the Caribbean Empire without, stand in its way.;;;;;;;;;;;;;x
BM_SOUTH_OF_THE_BORDER_ERA_INFO;The once-glorious Mexican Empire has been shattered: Left open to rebellion in the North due to constant incursions by the Californians, the imperial army was shattered by Luis "la Cucaracha" at the watershed Battle of Ojinaga. That loss allowed the Plan of Ixcateopan — a coalition of freedom-minded indigenous leaders in the South to enact their wish for dissolution of the Empire and self-rule. Meanwhile, the Cristero lords of the Bajío now whisper of a new Cristiada, to reclaim their home in the name of Cristo Rey. In the Southeast, the nascent Kingdom of Yucatán seems poised to usurp Mexico's position as the dominant power, but turmoil within and the Caribbean Empire without, stand in its way.;;;;;;;;;;;;;x
ERA_CHAR_INFO_1325022;Once allies in the Plan de Ixcateopan that shattered the Mexican Empire, the Zapotecas and Mixtecas quickly found themselves at odds with each other over territorial disputes. After a brief conflict between the two peoples, the Zapoteca princess Pinopiaa and her sister, Nadxieelii, were offered offered up by their father as hostages to the Mixtecas as a pledge of peace. However, with the death of the Zapoteca king and no male heir, Pinopiaa now must return to Oaxaca to be queen of her people. But will her love and marriage to a Mixteca prince allow her to free her sister from captivity, or will it doom her bloodline and her people to subjugation by the Mixtecas?;;;;;;;;;;;;;x
ERA_CHAR_INFO_1810083;The house of Iturbide descends from Julián "el Grande", the legendary Jefe Máximo of Mexico that was able to reclaim most of the lost lands of the empire, but the family has fallen on hard times by the year 2666. The current head of the Iturbides, Wenceslao I, rules over a vestigial state barely worthy of the name Mexico. Surrounded by heathens, rival caudillos, and squabbling principalities, it seems unlikely that the rulers of Mexico will ever be able to regain their former glory. Will Wenceslao defy the odds and reverse his dynasty's recent fortune, or is the empire doomed to be swallowed by the tides of history like its contemperaries from days long forgotten?;;;;;;;;;;;;;x
ERA_CHAR_INFO_1810200;When he was a young man, King Luis was a member of the Dorados, the legendary company of vaqueros and cowboys that served as the empires most effective — and unruly — task force. While in the service, he found salvation in the holy Atom and convinced many of his compatriots and fellow disciples to embark on a holy conquest of Mexico. At the battle of El Paso, Luis "la Cucaracha" destroyed the Imperial Army and carved out a realm for himself south of the Rio Grande. However, King Louis is no longer a young man — he is now 80 years old, and it seems that he will soon become one with the Atom. Although his son Jesús seems like a worthy successor, some still fear that without Luis to guide it, this new kingdom is doomed to fall as quickly as it emerged.;;;;;;;;;;;;;x
ERA_CHAR_NAME_WENECESLAO;Wenceslao Paleo y Lagos;;;;;;;;;;;;;x
ERA_CHAR_NAME_PINOPIAA;Pinopiaa Quecuya;;;;;;;;;;;;;x
ERA_CHAR_NAME_LUIS;Luis de Armas;;;;;;;;;;;;;x
